Step,AgentID,Resources,Profit
0,consumer_0,0.0,-1122.0
0,prosumer_0,-1000.0,-2945.0
0,producer_0,12500.560000000001,-3416.4399999999987
0,utility_0,23402.8,471.7999999999993
0,regulator,inf,
1,producer_0,444.1200000000017,-15472.879999999997
1,consumer_0,0.0,-1122.0
1,regulator,inf,
1,prosumer_0,-2005.7,-3950.7
1,utility_0,29450.8,6519.799999999999
2,consumer_0,0.0,-1122.0
2,regulator,inf,
2,utility_0,44138.799999999996,21207.799999999996
2,producer_0,-25252.319999999996,-41169.31999999999
2,prosumer_0,-3013.9,-4958.9
3,utility_0,67466.79999999999,44535.79999999999
3,consumer_0,0.0,-1122.0
3,regulator,inf,
3,prosumer_0,-4024.6,-5969.599999999999
3,producer_0,-54592.759999999995,-70509.76
4,consumer_0,0.0,-1122.0
4,utility_0,99434.79999999999,76503.79999999999
4,regulator,inf,
4,producer_0,-92573.2,-108490.2
4,prosumer_0,-5037.799999999999,-6982.799999999999
